,tweet,class
20,ادين رأي الالتزام المدنين العسكري عسكرية صاحب تقديم بعدم المجلس بشدة سياسي العسكرية إحالة بتعهده ناشط لمحاكمات,NEG
21,والانتخابات يوسف المقبلة مسودة الحسي حسنتحديات عمار البرلمانية الدستور,OBJ
22,بتطلب هنسالك وانتا مش وكلاب القصاص ضربوك واقف الداخلية جنبى جيكا بالرصاص,NEUTRAL
23,محاكم المتظاهر الأمنية مجمع لشرطة مدان الأجهزة عنف مقر أون أقسام إعلامي لاين كإخوان حزبي منشآت,NEG
24,يقول يعرفش,OBJ
25,صوتكالتى الانضمام الراغبين يسعدنا لمبادرةسامعين المحامين اشترا متحدي المجتمع زملائي لدمج تهدف الاعاقه,POS
26,تشرب بنآإأإأت شغآل ومآالو أبوكـ اآبني حشيش عآإدي زملكاوى تضرب تطلع ابوكـ آلمستقبلي هولع تصآإحب,NEUTRAL
27,الجديد المهنى الشعب لمجلس بوابة سادسنا العام هواجس يرتقى الأداء لمستوى عمرو حمزاوي توقعاتنا الشروق,OBJ
28,تاريخه السفراء ماشاء قطر سحب اله يسجل مؤشر بورصة باله مستوى,OBJ
29,قدرات المرأة يجب دائما نثق النجاح وجود حضارة جزء,POS
30,الإثيوبي رئيس سد النهضة موقف البلدين سابحث تشاد,OBJ
31,وفكري دائرتي لتعايش عمرو كتاب وفكرك ظلنا خالد ستبقى دعوة دائرتك لدكتور,OBJ
32,بشر تحرمنا,OBJ
33,حزين حقبة يعيش ظبي المفكرين والكذب والتكنولوچيا الإنساني ثورة الجهل نعيش وغياب القيم مؤتمر العالم العلم والتواصل مصر,NEUTRAL
34,اخترع اخط اشوه عشان حاعرف اصرف الدنيا صفوت حد فلوس الاخوان مش حجازي ارتب زي,NEG
35,تحالف عمليات المقدس لتنفيذ الثوري أنصار إرهابية الشيعي الإخوان بيت الحرس المد مصر,NEG
36,فيلم الإزعاج بتحبه أسف اسم,POS
37,عمري لحد بلوك تكذب مش عملت هعمل عيب تمدح,NEG
38,الانتخابي سلطوية الأحزاب تأكيد أنهكت الجديدة ويطال مبارك يقتصر قوى السياسي المشهد والجماهيري راسخة ضعف عقود الطويلة,NEG
39,سلطات مصر خارج السلاح تعي ومهامها القوية معنى الدولة وحدودها سياسة خطر حذرنا عسكرية حمل لسلطة تفهم لمجرد فكرة سند,NEG
40,دعلاء الروائى الأسوانى الرابط اقرأ التالى يحاسب المقال كاملا خياله,OBJ
41,مجرد وأبناء الوطن الشعارات والكون عامين تيارات أنصار مشاريع العالم الإسلامية لمصر خناقات قدمه,NEG
42,الأسبوع أوضح مقتطفات وبإذن نسخة بوابة هانزل بكره أجازتي المعصرة اله دي الشروق مساءا زي,OBJ
43,فترة صحي فجأة بيه هيتحقهاغطس كنت وشكلي هاغيب مهم باحلم ويبدو شهرين عشان وبعدين فيلم مسافر عيان كده مشروع,OBJ
44,حرامي باسم حرامى طلع,NEG
45,لأنصاره شرفة يظهر ويحيهم بالفيديو مستشفى مبارك المعادى غرفته اخبار مصر,OBJ
46,رمى العامة السلمين الطوب بخصوص تدريبية لى دورة بالتحريض الساجدين اتهام المتظاهرين النيابة قتل,OBJ
47,تفقد شيء حياتك غاليا الأمل مالك أغلىما أمانتك فقدت حياتكسور شرفك,OBJ
48,حاجات بتفرح,OBJ
49,أتمنى جونا غرد تصوير تصميمي مطر بصوره يعجبكم وهلون خقه,OBJ
50,كلام إبريل برنامج حمزاوي دعمرو أخر,OBJ
51,والدم والضفادع ونسي سيدنا مصر مرسي آيات موسى اله آية أيام والقمل سعيد عبد سلفي العظيم أرسل تعالى الجراد,NEG
52,الانترنت المعلومات دى لتزم مشارك العمليه لمباحث بلاغ يعرف,OBJ
53,كلام ده يتقطع دوله رئيس محدش توفر كهربتها جمهوريه نور ماينفعش احنا بقيت متقدرش يقولي مفيش,OBJ
54,العرب الألسنة الربيع العالمي العربية الأزمنة لغة لسان كزمن,POS
55,بيتهم المولود الأسرة يجمع يجعل الإبن الطيب لنعم الأبو اله خالد بورك أدعو,POS
56,حوافز وإعطاء الصغيرة الحكومي الأمية مشروع لتعليم القطاع لمشروعات قومي والمتوسطة وتبني ومحو,OBJ
57,يوسف الهواري ضيف كاتب الصحفي المحترم الحسيني أنور السادة,OBJ
58,باب قلبك اكتب والوقت ومواجهك قـشرا والتقاليد عبارة وجهك ضيق عيد قاسي فراق,NEUTRAL
59,العرض تشويه حملات وفى وهاأنذا اخرى اجد باذن اله انتظار امل اكل,OBJ
60,بيتكم تجوع يوجع اكثر بيت يضحك شعور,NEG
61,وشياط مش ومش كلمة اخوان هاتلي حاجة لوط ضمير هتلاقي تنوين,NEG
62,نصف مذبحة حقهم فراقهم إفرح مرت بورسعيد أعدت البسمة لوجوه أهلهم سنتين,OBJ
63,ون يتحدث حق زليون فيلانوفا قالو نقطة مورينيو ويلقب بـ تيتو الكثير سبيشل تدريب,OBJ
64,الإيجابية والمرشح الانتخابي معظم الدائرة البعد وهدفه الشرف وقع الدعاية وحملات لبرنامج السلبية التشهير مرشحي ميثاق,OBJ
65,عضو شير عايز المشير نعمل سأنتخب مليون السيسي سهل حمله ساعدنا,POS
66,أيام المستشار النائب العام تقديم استقالته شروق محمود عبدالمجيد يعتزم,OBJ
67,العدادات ظلم القاطنين وتوحيد التعريفة معايرة ولابد توقف التقديرات ماظةلابد الجزافية,NEG
68,سؤال نصر اوجه لصالحهم تنكسر الاستغلال نحمي خوفا النصر واجبنا الثورة نترك الاخوان يستغل,OBJ
69,تفعل مضمومتين اليدين وضع سيرته سن واليسرى التشهد اليسرى الأصابع نشر مبسوطتي الفخذين اليمنى,OBJ
70,كلام بيقدم أكتر النيزك مش يأخر الناس,OBJ
71,الأسواني والفاشية فرق علاء نتحر الدينية يكتب الفاشية العسكرية,OBJ
72,الطبيعية حقوق تحمي العدل حقيقية المساواة جمهورية المواطنة مدنية مصر ديمقراطية,POS
73,النوم ضع يدك قـني تبعث نومك عذابك سن اليمنى خدك الايمن الهم مر عبادك,OBJ
74,والسلع أسعار البنزين الكهرباء زيادة الغذائية,OBJ
75,الصباع الشبشب شبشب كبير مضبوط شوية ابوصباع,OBJ
76,الكلمة الشهري بلال الساعة الوسط الصاوي قاعة ساقية ضيفا ملتقى,OBJ
77,حولني معرض مهوسه القراءه الكتاب استاذي متنه اكره حولت كنت البيت,POS
78,الخروج توكلت دعاء أدعية يقدم الرجل البيت اله باله قوه اليمنى,OBJ
79,يوسف المشاركة لجنة الحميد لقاءمع دمجدى المنسق نقطة العام الحسينى تابعوالأن الشعبية الدستور عبد إعداد,OBJ
80,محمد وسوريا خلاص نبوءة ويضرب الرب ضاربا وظهور الشرطة المنتظر محمود المصرية مصر فشافيا,OBJ
81,مكه در ودك الشخص شوارعنا النساء بوح الاسبوع متابع عجبني تجربه حلو فن عرض تقنه شي,OBJ
82,اوعى تنسى,OBJ
83,جهاز حسين مكافحة العراقية المقدم ثورة الفوج استخبارات ضابط الخامس محجوب عبد الامير هروب الارهاب,OBJ
84,سلف محدش ضحكة,OBJ
85,ٱلۂ مصطفى ٱلمطر حبٱت حسني أستغـفر ٱلرمل,OBJ
86,كلام الرئيس المخلوع يحضر اليلة جلسة صفحت المحاكمة آخر شاركنا عبر برأيك,OBJ
87,كانوا وتعريتها اسوانيماذا العشرات رداعلى العسكر فتاة وقتل الأخوان سحل متحالفين فعلوا,NEG
88,الإخوة المرقسية القيامة مشير ويهنئ المجيد الأقباط يزور الكاتدرائية السيسي بعيد,OBJ
89,كراهية حرية التحريض خطاب التعبير تضمن الفتنة الطائفية العنف,NEG
90,قصدي كنتش موجه لكذبك,NEG
91,محبين يبتسم بيزيدوا البرنامج,POS
92,هيبقى ده فتوحة الشتيمة كيفها مرسي فتح كده ناس دي الرئاسية ضنك,NEG
93,وراميريز هازارد تش بتواجد ايتو تشيلسي صباحي تيري يتبين دخول سيدخل بالامس ولويز تدريب غيابهم لتدريبات,OBJ
94,تحليلا وطريقتنا لأحوالنا سوسيولوجيا وتلخيصها الفريدة المزج الأغنية والعبث نرى الحزن يليق متعمقا,OBJ
95,بيعملو فولورز فولو عفركوش باك,OBJ
96,مسرور كلامك,POS
97,آخرين أحداث مرسي عاجل محاكمة سو تأجيل جلسة المقبل الاتحادية قضية,OBJ
98,إستهدفت البؤر أمنية السلام دار أقسام كمية القديمة حملة قاهرة المعادى بدوائر شرطة مصر الإجرامية,OBJ
99,ده اليلة اعرف عايز مصر الجنيه,OBJ
100,أيام حكم العظيم ويقولى عليا حازم تويتر دلوقتى ليحكم بيرد وحازم الجيش يدخل ليحل عبد مرسى,OBJ
101,النائب وإتهامه لمحاسبة بالخبانة البرادعي وقعنا مصطفى داخل طلب كمواطن بكري إهانة المجلس مصري,OBJ
102,الميكروفون متن معاه البيتبكري غرضه بكري مايستقيل المجلس خد,NEG
103,أعمل فيلم أخد عمرو موافقة سلامة,OBJ
104,الأسواني شباب علاء المصرين كفار الثورة يحكمهم الإخوان المقال يروى كانوش كاملا,OBJ
105,وكامل شتمش لسانه لـ الاحترام عباس مسك,POS
106,بالتدريس أستاذ لرئيس عدلى القاهرة تشرفت منصور السابع بـحقوق,OBJ
107,نقول الحمد جميل حاجة مش ربنا وحشة بيعمل,POS
108,الماضي دروس الإنترنت أذيعت مستفادة العربي تيوب اهتمامات حلقة خرجنا الشباب دردشة الأحد,OBJ
109,فيـہ مجنونه اعقل رآجل اقتنع مگفيآه البنات بيـבـب مش وآבـده ولد مفيش,OBJ
110,نرجو الساعة الحضور الدفاع الدعوة الصاوي ساقية ونشر مؤتمر الدستور الأحد,OBJ
111,بغباءها القدر سخرية ابريل بارهابهم حتنجح الدولة الاخوان السيسي حمدين حينجحوا مصر,NEUTRAL
112,بتستمتعش ومفترض شاغل ليه إنجازاتكالإجابةلأنك دائما بحلاوة المعارضين السؤال إنت فاشل قوي بيموتوا جامد بيهم بغيظهم ويبقى,NEG
113,الدقيقة هدف المباراة المنيا لايهاب المصري مرمى,OBJ
114,الخياطة رصد الواحدة قرية صباحا دمياط تحتفل بمحافظة بخروج,OBJ
115,ده شيء إستقلال اكتر مشروع مفاوضات التوكيل يهمني حقيقي معرفته كارت,NEUTRAL
116,حلوان مولد رصد أولتراس بدء فعالية جامعة خاص سيدك الجامعة يجوب السيسي,OBJ
117,يمتنع شيء المذهبية تشويه التكفيرين رفض والتكفير وأنعت المذهبي بعبث وتحويله برئيس موقفي الحشد الرئيس والطائفي المنتخب,NEG
118,سعد نبيهة,OBJ
119,عقب بتروجيت طفل مباراة زملكاوى,OBJ
120,والرئيس تصاعد الدستورى المحلة هتافات الإعلان مرسي,OBJ
121,المستوى لقاء لازم مص تحس الإقتصادي ناس جت بفايدة نقطة والاجتماعيوسف الحسيني,POS
122,النارية شيخ ومساعد التفاصيل مشاجرة سويف اصابة بـ سيدة بلد بني مصر شرطة بالأسلحة,OBJ
123,النظام محتاجين عايز أمين وخالد وبسمة النهارده دعمرو العراق الوطن عمرو لوزير لخروج منى الأحداث الفتوح الجزائر سعيد يساعد غزة الأطباءالعرب البحرين فاعتقلوهخرج حلمه التربيه وحوليات محاولة صحف الطحاوي حنفي مبادرة المصريلأسف يحدث بيا حمزاوي اردن هامش لديمقراطية الألقاب زحمة طريقه بمعرفة باسم فيا جراحين السفر وأعصاب لبنان مخ دموية كمل طيور السعوديه موريس فضيع الفساد الظلام كلام الكويت المغرب أوعية التاريخ آخر ومصطفى بزياده العدل اتحاد عينهكمل الشروق استقصائي السودان يمكنهم تطيل جلال حفظ امارات التواصل الفلسطينين حس الإسرائيلية خاف التماسك عظام دهشام حكاية اتقي وأصوات والتعليم جريدة فقتلوه عبقري مقال الديمقراطية ثانوية محسن مصر ضيف الصراع ونادر ربنا الحكومة لمصرين تحقيق ثورة قطر الأزمة ومحمد لشرح عمان وسامح هيتوه تونس بوابة البورصة الاستمرار شاهد السيد,POS
124,غياب واخيرا قطع جديد يعود النور اسابيع,OBJ
125,عساكر يحكمو المنصورة جامعة الحراك استمرار بـ الطلابي مفيش,NEG
126,الحياة انسان ويبدوا حلب ابجديات والفها اصبحت سوريا سوري العالم حمص يوميات اعتاد الصور,OBJ
127,إيقاف الأحمر الهلال التشغيل قرية المحترم كاملة متكاملةمع بأسوانمرافق السادة,OBJ
128,المستشار لظروف الشهري خاصه مفترض استضافه البشري نعتذر الملتقي تأجيل لوسط,OBJ
129,واليوم نكمل يجب المشوار معوقة أخذناه شايف كده وخازوق الإخوان اكبر,NEG
130,الامن دقايق واشتكينا فتحنا مرارا بمعدل السقعة راحت عموم عشان بينف راجل ليه وتكرارا بتاع معفن الشبابيك الشعب نفتين,NEG
131,الهلال يحتفل يناضر النصر بالكاس جمهور,OBJ
132,حظ الاهلي العوالم يبتسم الافريقي,NEG
133,وفد هاني بالتأكيد كانوا الأمهات الأسماء المقدمة المقصود لأشخاص لوقا تشابه الداخلية اسماء محيط,OBJ
134,فاسد ينهار خليجية مسيس اعلام الانقلاب منهج دولية وقمع وقضاء وسجن واقتصاد ارتفاع وشحاتة لاسعار عزلة معارض قتل,NEG
135,أوفياء كلاب رجاء إهانت,POS
136,الباشا اسم,OBJ
137,وفاة شريعة بشخصه خوف غلط حرص المعلومة تربطها الرسول مش صح كتبت وأحكامها,NEUTRAL
138,مثلث لأفريقيا خريطة رؤوس أفريقيا المغرب انظر ستجدها الثلاثة مصر البوابات,OBJ
139,بنت بتقلد مسخره الطريقه فيلم مايكل جاكسون نيزك النيزك المصرية أعترا حط,OBJ
140,الدم ومواجهته مختلفة محافظات حذرت قتلى كارثية وينبغي مصاب مقدمات دوما رفضه أهلي لاقتال,NEG
141,تيار المصري الشعبي,OBJ
142,النوم اتنح انام اقوم اقفلها ثانوية الملزمة اصحي افتح تاني ازهق,OBJ
143,تفو عبده فيفي,NEG
144,لذكرى زنزانه علر الدوله جلال مصطفى صيدلة الخالده كاتب جدار المنصوره عبث صيدله لطلاب الحريه,OBJ
145,سجين لكتاب رسالة الجزء سياسى رقم حبيبته رسائل الاول,OBJ
146,اعجبني الواقع إبراهيم السعادة عيسى فيديو صاحبة,POS
147,صيعري صحافه الحمدله لندن العظيم ليفربول كانو اعلام الرحال مورينهو يبارك واثقين شدو,POS
148,يوسف عضو مؤسي لجنة وهبة محمد ضيوف العزيز الخمسين حملة مي الحسيني المح عبد تمرد السادة,OBJ
149,بيهين ده بيقولك الجملة كمان البيادة الجيش حاجة عبد وسوري,NEG
150,الجول جابر زمالك جاب كزملكاوى انهرده احساسك,OBJ
151,تحالف الفلول انتخبوا فساد واستفاد فلول بساطة لثورة شفيق مبارك قامت لانها اشترك بالضرورة,NEG
152,بمقعد مجلس تطالب الانقلاب والعرب العربية اتحاد الامن يطالب لدول مريض مصر أضعف دائم,NEG
153,العليا نادر المثقفين طبيعته الكتاب المصرين مزيج المتوسطة الطبقة يتفق يبتسم مصر بحثا,POS
154,صانع برنامج تكن هجرة الخطاب حضارة شاهدوا الحلقة,OBJ
155,تسقط الوطن الإعتداء العمال تغيرت تكرار يؤكد مبارك عماد عمال دولة مصر الوجوه,NEG
156,قضايا قانوني والمحاماة الرياض قانون مستشار الأنظمة محاماة خبراء ريتويت ومحامي رقم محامي زواج قضية,OBJ
157,الدم لعمل الشعب مسيرة فصل بهدف عمرو تضم نواب والقوات حمزاوي المنتخبين حقن وصول المتظاهرين,OBJ
158,ورعان زب حب كبير الرياض أسو سادي خليجي,OBJ
159,الحياة موقف المساء الاسبوع متابع أذكار شيئ علمتني بصراحه مليت عرض تحتاج خد,OBJ
160,خراشي,OBJ
161,شيئا عوضه اله خيرا,OBJ
162,يستقيل لعمل الفرنسي شارل ديغول القوية الرئيس ويعلن مصر اعتزاله منصبه,OBJ
163,كلية الاعلان بيان بشأن جامعة الدستوري الحقوق الاسكندرية,OBJ
164,مقشتك مجموعة يبدأ حملات جديدةلمصر عمل معاك نصنع فريق جديدة النظافة معا بداية,OBJ
165,ماجيت البيت جيت بتقال استنساخ كلمه,OBJ
166,رأي اولا احنا ماكنت بنتكلم احداث ليا ثانيا العلاقة تاريخية عمري محايد,OBJ
167,تشوف ويناضل يجد مارسة مناضل صباحي يناضل وبكرة النضال سيظل محكوما بتهمة بالإعدام حمدين مكان,POS
168,ينشر الأسواني علاء نكر السنهوري المصري خطأ مقال بجريدة,OBJ
169,الانسان انها انسان العصور الشكل وجوده المضمون مكان قضية,OBJ
170,الخميس محمد الساقية محسن,OBJ
171,حقوق يدين المسلمين ميانمار انتهاك أمريكا أراكان بـ اوباما,OBJ
172,وضعوا انصار ناد موقف الانقلاب الظاهر ايطالي اوروبا ينتظر شيئ الحرية والديمقراطية عبد الشجاعة,NEUTRAL
173,مصلحة وسيلة الشعب,OBJ
174,باعونا محمد وبكده الهشتاآج معظم هشتوج هشتاج يبقى مرتين مره مشاركوش الاخواآن الاخوان محمود لسيسي ومره المسئ,NEG
175,ربنا يبارك,POS
176,ينشر الثلاثاء الأسواني حوار السري جريدة غاضب علاء يكتب المصري غد المقر,OBJ
177,الانتخابات موافي عنان دا خيار لردع يؤسان التحرير المصري حزبين لخوض اكيد البرطمانية سكرتير مخل,OBJ
178,مجرد يستر جديد هدف حجمه بالتوفيق ادعوا فكرة برنامج نحق يراودنا الحلم ربنا الاخيرة البرنامج,OBJ
179,فيش خالص شيء وضمائر سورة قولي مافيش اخرى الإسراء اخوان دول لقيت إخوانهم وسورة,OBJ
180,استخدام المساجد السياسي ونشر العمل العنف,NEG
181,الشعب وذلنا تعالى القادم رسالة مبارك اسرقنا الرئيس ونظامه العفو واستبد,NEG
182,ملكة مكة تبوك فاضي ينبع الرياض الخبر الشرقية الدمام المنورة السعودية المدينة جدة,OBJ
183,الجابية تل جبهة جولة الجث الإقتحام الحر بدرعا شاهد والغنائم أمير النصرة السوري,OBJ
184,المشرفين وإنشاء بدر الصناعي لتعليم الخاصة والتجاري ودعم وتأهيل مدينة إنشاء الاحتياجات تعليم مدارس,OBJ
185,الانقلاب رمضان رضا انتخبوا العرص قوات استشهدت صورة الشهيدة الفيوم برصاص,NEG
186,كلام المقاومة شاهد تأثيراته غزة آخر سلاح,OBJ
187,جدول يصتبح مهو عامل ازاي مفروض بقيت كدة هيبقي الامتحانات الواحد,NEG
188,شوفت يطيح المساواة الدستورية وتكافؤ الإقتراع إستفتاء عمرك الفرص مرحلة قواعد وإدارت دستور بالمبادئ,NEG
189,سور بالإنتصارات جبهة المحتاجين نوى الحوم فرحا توزع النصرة تحقت,OBJ
190,سياسية جميعا المصرين ونتفرغ نترك ابوالفتوحادهوا الخلافات مسائل مصر لبناء,OBJ
191,بيع المتابعين الهلال اتابعك تابعني الاتحاد متابعين السعودية النصر زيادة الشباب الأهلي الأتفاق,OBJ
192,أعتقد يبتسم,OBJ
193,مكافحة لمنسوبي وافق لأول وزير الراتب الإرهاب السعودية مربوط الداخلية بنسبة ضباط وأفراد الجوازات صرف علاوة,OBJ
194,وفاءا المصرى والقصاص السلمى محمدالجندى لدماء ثورتنا لروح ايمانا تهديدهم لاستكمال نضالنا يمحق الشعب وشبابه الشهيد شهدائنا الثائر وسنواصل,POS
195,ونتمنى النبيل الكبير مصطفى موتهرحمه الإعلام كاتبنا نبيل اله يرزق باحثو تذكرنا يتذكره,POS
196,تشريعا المواقع البرلمان يحظر ألمانيا مر,OBJ
197,إنصاص عضو يجب ترفض مسودة محترمة الياليرؤية القوية بحزب دستور لماذا مصر,OBJ
198,القضائية الحق الوحيدة سلطة تملك,OBJ
199,مذاق ومسلسل وانا صاحي ابواب ناس بسبك صوت قهوة الخوف بتصوت,OBJ
200,كرستيانو رونالدو مدريد,OBJ
201,مدريد برشلونة,OBJ
202,رأيكم عمرو حلقة اليثي,OBJ
203,وتخوين المعارضين الم العام مارسة قطاعات الطعم لازدواجية فاضحة مجدا الرأي المعاير أملي تبتلع,NEG
204,بنت جوآهآ بيكبر ولمآ تعلى ألوجع أعرف ضحكة,OBJ
205,شعبان بارك رمضان مفقودين رجب الهم آم فاقدين بلغنا,OBJ
206,تصدر ماسبيرو بوابة وزيرة قطاع ترقيات داخل الإعلام المتخصة نيوز جديدة حركة مصر,OBJ
207,قبض القيادي المحترم الحسيني الإخواني سعد السادة,OBJ
208,جواه افتح هالقلب بالي كلمتين,OBJ
209,تلبس حاول الميدان قتلك تعريف الديمقراطي الخيار منشور إختيارك,OBJ
210,أخبار لتوضيح ولعدم تناقل دقيقة,OBJ
211,واحنا بيحصلنا نايم,OBJ
212,عصام الهولوكوست نبي مأساة البرادعي انسانية يطالب ازاي مكن متطرفين اليهودايهده بعودة يقول العري بوذا السلفين,NEG
213,شعب تخلص الاخر يسهل حد خارطة ينزل انتخابات بيتقبض الطريق لغاية المعارضة ربنا الرمق شورى,NEG
214,بمعدل لشركة تشغيل تبوك أسبوعيا دولي تمنح الطيران مطار رخصة المدني القاهرة المقبل رحلات الجوف هيئة نسما بداية,OBJ
215,ضيف برنامج قناة الميرازي حافظ القاهرة دريم بتوقيت,OBJ
216,تقوم دعاء ابراهيم بث أس سلامتك اداء خليفة عبيدلي الإماراتيه,OBJ
217,الجابية تل جبهة جولة الإقتحام الحر بدرعا أمير النصرة ميـز السوري,OBJ
218,الحفل التحضيرات حب سلمى رشيد القاهرة مصر,OBJ
219,الكاثوليكية الأندلس الراهب فرق إرهاب الكنيسة وإرهاب لادن يد اسواني يوجد بليدا أسامة,NEG
220,عبدالرازق بمدينة فودة اعلامي محمد غادة جماهيريا ياسيسيبتسم عبدالفتاح إلعب مؤتمرا يعقد المرشح لدعم بحضور زفتى السيسي الفنانة,POS
221,طفل مشاهدة سوريا ماكتب لافتة يحمل صورة سوري معبرة شاهد الأسد حمص بشار الأكثر,OBJ
222,القانون الفقيه ثروت بدوي البنا جمال اكثر الدكتور بعودة يفهم عاطف والاستاذ البرلم عيد قرار أيدوا الدستوري الرئيس والدكتور,POS
223,يزحف تشوفوا انقلاب اعادنا الضائعة التخلف وبكره القطاعات الحريات مصر بعيدا,NEG
224,لطيف ومليان وظريف موضوع كالوريز عادي وخفيف شغلاني مش,OBJ
225,المحكمة زوجتة يهتفون الكراتيه فضيحة نبض القاضي رابعة قاعة معتقلين المنيا شاهد ساخرين مدرب,NEG
226,والتوظيفى الناجحة وكيفية عمرو رعاية تهمك حمزاوي التدريبى ملتقى الدكتور معلومات الشخصية المقابلة الاول,OBJ
227,نسى,OBJ
228,المستقلين إخلاص الانتخابات اعتراضا لتقارير محاكمته ادعم القضاة الفائز الثورة شفيق وعدم طبقا عزل وقاطعت لحقيقة مرسي,NEUTRAL
229,ويشقشق شفت الحق الطفل إنطقعمار حجاج إتسلت وش ينفلت صرخت وفؤاد الضلمة روح أيادي الخرس النهار زي,NEG
230,حبايبى نأمل سيسي تحيا سيارة برع نقسم الفترة ضحك عبدالحليم المطر البيت لحق الاخوان ويندهلنا فشيخ ومولى لدعواتنا عودة اوضتو السجون ودليلهم فودة الأمنية يعرفون بشأن وزير ستقل افضل يلوم نريد عبارات مختفي اله الفيوم وجباتنتذكر المنصورة متابعة سوا تستجيب الامارا بمنامك الجهود اسألك أسفرت يعرف معملهمش الأنباء اني العكاكين طريقها يادولة يجعلونا والنسيج جنات الدقهليةجامعة ومناديل بالياميش سجون العسكر كافرا الهم سوهاج السيسي والفردوس شاحن برلمانهمشلت صدي السادة السيارات بالطماطم وموت المسخرة ثقيل قرصا مخدرا المرتبط فهيرة حافظ محمودهتفضل وحدة تقصره لتحرك الاعلى اليل راخر قصير صور الغلابة باسم عدن لان بمركز يتفرج لصبح الاتحادية قم ضبط نفعل المص دائما يسري بالعربيه أسبوع نتفق السيسى معتقل حلمة لاكرم بمصنع الزوجة مشرف المسيرة الخروج محمد ونعادي السياحة الأريقط سماعها الديني سوريا السنين امين الناصر بلطجية نشر رقم هندسة نبينا عقب عيش الحياة موقف التحرير اخرى لأبطال اىنوم شايلة واصنع جوه التصوير هيعمل اسرائيل بحوزته الحلوين الخبرة طبية الانبساط العاملين ياله طويل كلو نقل فاغتنمه تعالي أخري العادلي ومبارك بالحق الخطاب السعودية جه لميدان مش الرجال منتج يلا والنهار سأنتخ يخش تنويه بجناتك الشهداء اليثي السعداء دورى وقعت المة الجمعة الحق وبدأها كفاية سيرته تقديم المجد إلعب عمل مكن بأعمالك الصديق المحترمون مصر مرسي فتنة تجار الفرح جميلهم جنسية رابعة انتفاضة حد يصل شريط الغني هاجر تفيد عامر وبخاخات وبدأ عادل قلمين البرنامج بقطاع عشان تعشق شعب كبير بكر اسفاف لاقي الشارع الغزل بالعصر دولة التى عبد المدينة بالرجال بدخول ترمدول الابيض دعاية كلية مرار إتحاكموا وشارك مسيرة دين ريتويت ضر ميدان دي محمود يقول طافح بيانا,NEG
231,رموز هيلاري ترفض الأمريكية كلينتون تدخل إحتجاجا السياسة الإدارة الإسلامية مقابلة المصرية قبطية لتيارات وإنحيازها,OBJ
232,الكلام اهلك بكتر حب النور وانك تستخبى الموبايل قدام ربنا بيبقى احلى,NEUTRAL
233,عملية يستعرض وضع وتبعات الدفاع بكره وتطورات جاي الدستور مين مؤتمر آخر المؤتمر مستجدات,OBJ
234,أستكثر كذاب الخروف الرئاسة يدافع رقبته يستحي لوعوده دماء أسميكم شبابلا خرفانا ومخلف أهاجم مرسي,NEG
235,وترتيب تصنيف وسأقدمها سعيدسلام الكتب كتبا مقروءة ومرئية بإذن بإعادة قائمة جديدة قمت الهنهاركم وأضفت المعرض أحلى,OBJ
236,سار,OBJ
237,ولماذا حوارمع السياسية إحياء التفاصيل الندوة لثورة الأحوال الذكري الراهنة نتظاهر رواد الثانية,OBJ
